Student ID,Report Class Code,Item Code,EnteredText
130257,11 Biology,Subject grade,B
130257,11 Biology,Subject grade 2,C
130257,11 Biology,Subject grade 3,B
130257,11 Chemistry,Subject grade,A
130257,11 Chemistry,Subject grade 2,B
130257,11 Chemistry,Subject grade 3,A
130257,11 English,Subject grade,B
130257,11 English,Subject grade 2,NA
130257,11 English,Subject grade 3,B
130257,11 Hospitality,Subject grade,C
130257,11 Hospitality,Subject grade 2,NA
130257,11 Hospitality,Subject grade 3,C
130257,11 Maths Studies 3,Subject grade,A
130257,11 Maths Studies 3,Subject grade 2,B
130257,11 Maths Studies 3,Subject grade 3,A
130257,11 Maths Studies 4,Subject grade,B
130257,11 Maths Studies 4,Subject grade 2,C
130257,11 Maths Studies 4,Subject grade 3,C+
130258,11 Digital Photography,Subject grade,E
130258,11 Digital Photography,Subject grade 2,NA
130258,11 Digital Photography,Subject grade 3,B
130258,11 English Essentials,Subject grade,C+
130258,11 English Essentials,Subject grade 2,NA
130258,11 English Essentials,Subject grade 3,C+
130258,11 Maths Essentials,Subject grade,C
130258,11 Maths Essentials,Subject grade 2,D
130258,11 Maths Essentials,Subject grade 3,C
130258,11 Woodwork,Subject grade,C
130258,11 Woodwork,Subject grade 2,NA
130258,11 Woodwork,Subject grade 3,C
140005,11 Art,Subject grade,E
140005,11 Art,Subject grade 2,NA
140005,11 Art,Subject grade 3,E
140005,11 English,Subject grade,C
140005,11 English,Subject grade 2,NA
140005,11 English,Subject grade 3,C
140005,11 Legal Studies,Subject grade,C-
140005,11 Legal Studies,Subject grade 2,D
140005,11 Legal Studies,Subject grade 3,C
140005,11 Research Practices,Subject grade,C-
140005,11 Research Practices,Subject grade 2,NA
140005,11 Research Practices,Subject grade 3,C-
140005,11 Woodwork,Subject grade,C-
140005,11 Woodwork,Subject grade 2,NA
140005,11 Woodwork,Subject grade 3,C+